,Артикул,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Ширина кольца,Ширина,Высота,Номер страницы,Цена со скидкой,Цена без скидки
73,110032,"Для женщин, Для мужчин, Унисекс",1.19,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,7990,7990
74,110030,"Для женщин, Для мужчин, Унисекс",2.35,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,4.0,1.0,3,30600,67990
75,110211,"Для женщин, Для мужчин, Унисекс",1.23,Красное золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,15750,34990
76,110200,"Для женщин, Для мужчин, Унисекс",2.49,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,31500,69990
77,111093-01,"Для женщин, Для мужчин, Унисекс",2.64,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,36000,79990
78,111094-01,"Для женщин, Для мужчин, Унисекс",3.21,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,47250,104990
79,112096-01,"Для женщин, Для мужчин, Унисекс",2.63,Белое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,35100,77990
80,112097-01,"Для женщин, Для мужчин, Унисекс",3.29,Белое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,47250,104990
81,1110216,Для женщин,1.81,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,29.0,Бесцветный,0.107,3.0,3.0,1.0,3,51750,114990
82,1110232,Для женщин,2.82,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,41.0,Бесцветный,0.118,3.0,7.272491669751944,3.3737936154417225,3,51750,114990
83,110201,"Для женщин, Для мужчин, Унисекс",2.49,Белое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,30600,67990
84,110063,"Для женщин, Для мужчин, Унисекс",1.78,Белое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,22500,49990
85,112211,"Для женщин, Для мужчин, Унисекс",2.56,Белое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,33750,74990
86,110062,"Для женщин, Для мужчин, Унисекс",2.0,Белое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,25650,56990
87,1114002-01,"Для женщин, Для мужчин, Унисекс",1.7,Комбинированное золото,585.0,Неизвестно,Бриллиант (природный),Круг,1.0,Бесцветный,0.004,2.4602927436935533,7.272491669751944,3.3737936154417225,3,12990,12990
88,1114007-01,"Для женщин, Для мужчин, Унисекс",1.68,Комбинированное золото,585.0,Неизвестно,Бриллиант (природный),Круг,1.0,Бесцветный,0.004,2.4602927436935533,7.272491669751944,3.3737936154417225,3,12990,12990
89,110188,"Для женщин, Для мужчин, Унисекс",1.45,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,20250,44990
90,1110211-3,Для женщин,1.29,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,17.0,Бесцветный,0.063,3.0,3.0,1.0,3,35100,77990
91,1110218-3,Для женщин,1.36,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,23.0,Бесцветный,0.09,3.0,3.0,1.0,3,40500,89990
92,1112249-01,Для женщин,1.18,Белое золото,585.0,Неизвестно,Бриллиант (природный),Круг,11.0,Бесцветный,0.106,2.4602927436935533,7.272491669751944,3.3737936154417225,3,47250,104990
93,110029,"Для женщин, Для мужчин, Унисекс",2.92,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,5.0,1.0,3,36000,79990
94,110224,"Для женщин, Для мужчин, Унисекс",2.15,Красное золото,585.0,Алмазная грань,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,22500,49990
95,110183,"Для женщин, Для мужчин, Унисекс",1.5,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,3,15750,34990
96,110031,"Для женщин, Для мужчин, Унисекс",1.8,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,3.0,3.0,1.0,3,22500,49990
97,1010359,Для женщин,1.51,Красное золото,585.0,Неизвестно,Бриллиант (природный),Круг,34.0,Бесцветный,0.099,2.4602927436935533,7.272491669751944,3.3737936154417225,3,45000,99990
98,1011362,Для женщин,0.85,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.046,2.4602927436935533,7.272491669751944,3.3737936154417225,3,30600,67990
99,1011409,Для женщин,1.19,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.021,2.4602927436935533,7.272491669751944,3.3737936154417225,3,32850,72990
100,1012362-3-66,Для женщин,2.34,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.25,2.0,4.0,4.0,3,128250,284990
101,1012074-3,Для женщин,1.19,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,32.0,Бесцветный,0.237,2.4602927436935533,7.272491669751944,3.3737936154417225,3,76500,169990
102,94014088,Для женщин,2.68,Родированное серебро,925.0,Неизвестно,Фианит,Сердце,4.0,Бесцветный,3.204,1.0,7.272491669751944,3.3737936154417225,3,3150,6990
103,94014143,Для женщин,1.61,Родированное серебро,925.0,Неизвестно,Фианит,Круг,24.0,Бесцветный,0.396,1.0,7.272491669751944,3.3737936154417225,3,1980,4390
104,94010609,Для женщин,1.19,Родированное серебро,925.0,Неизвестно,Фианит,Круг,38.0,Бесцветный,0.627,2.4602927436935533,7.272491669751944,3.3737936154417225,3,1690,1690
105,94013635,Для женщин,5.2,Родированное серебро,925.0,Родирование,Фианит,Багет,19.0,Бесцветный,9.62,7.0,7.0,3.0,3,3990,3990
106,94013221,Для женщин,1.76,Родированное серебро,925.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.066,2.0,9.0,3.0,3,1490,1490
107,94011294,Для женщин,1.25,Родированное серебро,925.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.017,2.4602927436935533,7.272491669751944,3.3737936154417225,3,2070,4590
